Event Id,Investigation Type,Accident Number,Event Date,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Aircraft Damage,Aircraft Category,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,FAR Description,Schedule,Purpose of Flight,Air Carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Report Status,Publication Date,
20001211X09698 , Accident , LAX98FA112 , 03/14/1998 ," LAKE BERRYESSA, CA ", United States ,,,  ,  , Fatal(2) , Destroyed ,  , N331GH , Gough-Herrman , CHRISTEN EAGLE II , Yes ,1, Reciprocating ,  ,  , Personal ,  ,2.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 02/15/2001 , 
20001211X09786 , Accident , SEA98LA054 , 03/13/1998 ," BICKLETON, WA ", United States ,,,  ,  , Non-Fatal , Destroyed ,  , N1640S , Snow , 600-S2C , No ,1, Reciprocating ,  , UNK , Aerial Application ,  ,0.0,0.0,0.0,1.0, VMC , MANEUVERING , Probable Cause , 02/11/2000 , 
20001211X09779 , Accident , SEA98LA045 , 03/13/1998 ," MORELAND, ID ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N50963 , Air Tractor , AT-402A , No ,1, Turbo Prop ,  ,  , Unknown ,  ,1.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 01/10/2000 , 
20001211X09714 , Accident , LAX98LA114 , 03/13/1998 ," TRUCKEE, CA ", United States ,,, TRK , TRUCKEE-TAHOE , Non-Fatal , Destroyed ,  , N345RD , Socata , TBM 700 , No ,1, Turbo Prop ,  ,  , Personal ,  ,0.0,0.0,4.0,0.0, VMC , APPROACH , Probable Cause , 08/03/1999 , 
20001211X09702 , Accident , LAX98GA110 , 03/11/1998 ," LEBEC, CA ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N9615G , Christen Industries , A-1 , No ,1, Reciprocating ,  ,  , Public Use ,  ,1.0,1.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 12/07/1999 , 
20001211X09651 , Accident , DCA98WA028 , 03/10/1998 ," MOMBOSA, Kenya ", Kenya ,,,  ,  , Fatal(6) , Destroyed , Airplane , U-PBA , Boeing , 707-336 , No ,  , Unknown , Part 129: Foreign , NSCH , Unknown ,  ,6.0,,,, UNK ,  , Foreign ,  , 
20001211X09656 , Accident , DCA99RA055 , 03/09/1998 ," AMPORT, United Kingdom ", United Kingdom ,,,  ,  , Fatal(1) , Destroyed ,  , GBUTW , Robinson , R22B , No ,  , Unknown ,  , NSCH , Unknown ,  ,1.0,0.0,0.0,0.0, UNK ,  , Foreign , 04/09/1999 , 
20001211X09658 , Accident , FTW98FA145 , 03/08/1998 ," ELBERT, CO ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N99HV , DUCI'S VANS , RV-3 , Yes ,1, Reciprocating ,  ,  , Personal ,  ,1.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 12/31/1998 , 
20001211X09755 , Accident , MIA98WA098 , 03/07/1998 ," CAT CAY, Bahamas ", Bahamas ,,,  ,  , Non-Fatal , Destroyed ,  , N2728M , Piper , PA-28-161 , No ,  , Unknown ,  ,  , Personal ,  ,0.0,0.0,0.0,3.0, VMC ,  , Foreign , 03/16/1998 , 
20001211X09711 , Accident , LAX98LA108 , 03/07/1998 ," HOLLISTER, CA ", United States ,,,  ,  , Non-Fatal , Destroyed ,  , N204DR , Bell , UH-1B , No ,1, Turbo Shaft ,  , UNK , Aerial Application ,  ,0.0,1.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 08/03/1999 , 
20001211X09738 , Accident , MIA98LA094 , 03/06/1998 ," NEW PORT RICHEY, FL ", United States ,,, RRF , TAMPA BAY EXECUTIVE , Fatal(1) , Destroyed ,  , N84MN , Nickelson Martin , COOT , Yes ,1, Unknown ,  ,  , Personal ,  ,1.0,0.0,0.0,0.0, VMC , TAKEOFF , Probable Cause , 02/15/2001 , 
20001211X09730 , Accident , MIA98FA091 , 03/05/1998 ," CLARKSVILLE, TN ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N840FE , Cessna , 208B , No ,1, Turbo Prop ,  , NSCH , Unknown , BARON AVIATION SERVICES INC. (DBA: FEDERAL EXPRESS) ,1.0,0.0,0.0,0.0, IMC , CRUISE , Probable Cause , 02/16/2001 , 
20001211X09697 , Accident , LAX98FA106 , 03/05/1998 ," NOVATO, CA ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N257NW , Piper , PA-31-350 , No ,2, Reciprocating ,  ,  , Positioning ,  ,1.0,0.0,0.0,0.0, IMC , DESCENT , Probable Cause , 06/22/2000 , 
20001211X09632 , Accident , CHI98FA099 , 03/05/1998 ," ORLEANS, IN ", United States ,,, FRH , FRENCH LICK , Fatal(1) , Destroyed ,  , N2546S , Cessna , T210L , No ,1, Reciprocating ,  ,  , Personal ,  ,1.0,0.0,0.0,0.0, IMC , UNKNOWN , Probable Cause , 03/31/2000 , 
20001211X09759 , Accident , NYC98FA073 , 03/04/1998 ," SOMERVILLE, NJ ", United States ,,,  ,  , Fatal(2) , Destroyed ,  , N3374P , Piper , PA-23-160 , No ,2, Reciprocating ,  ,  , Personal ,  ,2.0,0.0,0.0,0.0, VMC , CRUISE , Probable Cause , 08/02/2006 , 
20001211X09691 , Accident , IAD98LA034 , 03/04/1998 ," HAVERHILL, MA ", United States ,,,  ,  , Non-Fatal , Destroyed ,  , N63387 , Cessna , 150M , No ,1, Reciprocating ,  ,  , Instructional ,  ,0.0,0.0,1.0,1.0, VMC , CRUISE , Probable Cause , 03/30/2000 , 
20001211X09773 , Accident , SEA98FA042 , 03/02/1998 ," MIDVALE, ID ", United States ,,,  ,  , Fatal(6) , Destroyed ,  , N727RT , Cessna , T303 , No ,2, Reciprocating ,  ,  , Personal ,  ,6.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 11/17/1999 , 
20001211X09754 , Accident , MIA98WA097 , 03/02/1998 ," LA PUNTILLA, Chile ", Chile ,,,  ,  , Fatal(5) , Destroyed ,  , CCCIX , Cessna ,401, No ,  , Unknown ,  , UNK , Unknown ,  ,5.0,0.0,0.0,0.0, VMC ,  , Foreign , 03/20/1998 , 
20001211X09758 , Accident , NYC98FA071 , 03/01/1998 ," PRESQUE ISLE, ME ", United States ,,, PQI , PRESQUE ISLE , Fatal(2) , Destroyed ,  , N777HM , Piper , PA-31-310 , No ,2, Reciprocating ,  ,  , Positioning ,  ,2.0,0.0,0.0,0.0, IMC , APPROACH , Probable Cause , 06/21/2000 , 
